court,jurisdiction,name,year,published,unpublished
ala,S,Supreme Court of Alabama,1990,628,0
ala,S,Supreme Court of Alabama,1991,785,0
ala,S,Supreme Court of Alabama,1992,719,0
ala,S,Supreme Court of Alabama,1993,647,0
ala,S,Supreme Court of Alabama,1994,416,0
ala,S,Supreme Court of Alabama,1995,461,0
ala,S,Supreme Court of Alabama,1996,345,0
ala,S,Supreme Court of Alabama,1997,309,0
ala,S,Supreme Court of Alabama,1998,334,0
ala,S,Supreme Court of Alabama,1999,336,0
ala,S,Supreme Court of Alabama,2000,553,0
ala,S,Supreme Court of Alabama,2001,424,0
ala,S,Supreme Court of Alabama,2002,355,0
ala,S,Supreme Court of Alabama,2003,380,0
ala,S,Supreme Court of Alabama,2004,314,0
ala,S,Supreme Court of Alabama,2005,241,0
ala,S,Supreme Court of Alabama,2006,676,0
ala,S,Supreme Court of Alabama,2007,535,0
ala,S,Supreme Court of Alabama,2008,678,0
ala,S,Supreme Court of Alabama,2009,579,0
ala,S,Supreme Court of Alabama,2010,364,0
ala,S,Supreme Court of Alabama,2011,192,0
ala,S,Supreme Court of Alabama,2012,138,0
ala,S,Supreme Court of Alabama,2013,170,0
ala,S,Supreme Court of Alabama,2014,330,0
ala,S,Supreme Court of Alabama,2015,713,0
ala,S,Supreme Court of Alabama,2016,715,0
ala,S,Supreme Court of Alabama,2017,915,0
ala,S,Supreme Court of Alabama,2018,172,0
ala,S,Supreme Court of Alabama,2022,4,0
ala,S,Supreme Court of Alabama,2023,106,0
ala,S,Supreme Court of Alabama,2024,578,0
ala,S,Supreme Court of Alabama,2025,610,0
alacivapp,SA,Court of Civil Appeals of Alabama,1990,422,0
alacivapp,SA,Court of Civil Appeals of Alabama,1991,517,0
alacivapp,SA,Court of Civil Appeals of Alabama,1992,547,0
alacivapp,SA,Court of Civil Appeals of Alabama,1993,508,0
alacivapp,SA,Court of Civil Appeals of Alabama,1994,462,0
alacivapp,SA,Court of Civil Appeals of Alabama,1995,470,0
alacivapp,SA,Court of Civil Appeals of Alabama,1996,501,0
alacivapp,SA,Court of Civil Appeals of Alabama,1997,497,0
alacivapp,SA,Court of Civil Appeals of Alabama,1998,392,0
alacivapp,SA,Court of Civil Appeals of Alabama,1999,407,0
alacivapp,SA,Court of Civil Appeals of Alabama,2000,367,0
alacivapp,SA,Court of Civil Appeals of Alabama,2001,346,0
alacivapp,SA,Court of Civil Appeals of Alabama,2002,355,0
alacivapp,SA,Court of Civil Appeals of Alabama,2003,355,0
alacivapp,SA,Court of Civil Appeals of Alabama,2004,275,0
alacivapp,SA,Court of Civil Appeals of Alabama,2005,640,0
alacivapp,SA,Court of Civil Appeals of Alabama,2006,665,0
alacivapp,SA,Court of Civil Appeals of Alabama,2007,937,0
alacivapp,SA,Court of Civil Appeals of Alabama,2008,973,0
alacivapp,SA,Court of Civil Appeals of Alabama,2009,692,0
alacivapp,SA,Court of Civil Appeals of Alabama,2010,650,0
alacivapp,SA,Court of Civil Appeals of Alabama,2011,331,0
alacivapp,SA,Court of Civil Appeals of Alabama,2012,290,0
alacivapp,SA,Court of Civil Appeals of Alabama,2013,236,0
alacivapp,SA,Court of Civil Appeals of Alabama,2014,229,0
alacivapp,SA,Court of Civil Appeals of Alabama,2015,1143,0
alacivapp,SA,Court of Civil Appeals of Alabama,2016,1069,0
alacivapp,SA,Court of Civil Appeals of Alabama,2017,1357,0
alacivapp,SA,Court of Civil Appeals of Alabama,2018,534,0
alacivapp,SA,Court of Civil Appeals of Alabama,2022,9,0
alacivapp,SA,Court of Civil Appeals of Alabama,2023,75,0
alacivapp,SA,Court of Civil Appeals of Alabama,2024,257,0
alacivapp,SA,Court of Civil Appeals of Alabama,2025,295,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1990,531,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1991,624,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1992,590,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1993,567,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1994,480,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1995,410,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1996,325,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1997,272,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1998,229,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,1999,216,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2000,251,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2001,293,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2002,223,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2003,271,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2004,210,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2005,483,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2006,842,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2007,1398,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2008,1768,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2009,702,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2010,403,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2011,114,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2012,88,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2013,90,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2014,88,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2015,1630,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2016,1564,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2017,1928,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2018,758,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2022,13,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2023,70,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2024,262,0
alacrimapp,SA,Court of Criminal Appeals of Alabama,2025,331,0
alactapp,SA,Alabama Court of Appeals,1995,3,0
alactapp,SA,Alabama Court of Appeals,1999,2,0
alaska,S,Alaska Supreme Court,1990,121,0
alaska,S,Alaska Supreme Court,1991,142,0
alaska,S,Alaska Supreme Court,1992,127,0
alaska,S,Alaska Supreme Court,1993,136,0
alaska,S,Alaska Supreme Court,1994,119,0
alaska,S,Alaska Supreme Court,1995,145,0
alaska,S,Alaska Supreme Court,1996,160,0
alaska,S,Alaska Supreme Court,1997,171,0
alaska,S,Alaska Supreme Court,1998,136,0
alaska,S,Alaska Supreme Court,1999,173,1
alaska,S,Alaska Supreme Court,2000,128,1
alaska,S,Alaska Supreme Court,2001,177,1
alaska,S,Alaska Supreme Court,2002,142,0
alaska,S,Alaska Supreme Court,2003,117,0
alaska,S,Alaska Supreme Court,2004,96,0
alaska,S,Alaska Supreme Court,2005,119,0
alaska,S,Alaska Supreme Court,2006,119,0
alaska,S,Alaska Supreme Court,2007,129,0
alaska,S,Alaska Supreme Court,2008,122,0
alaska,S,Alaska Supreme Court,2009,127,0
alaska,S,Alaska Supreme Court,2010,92,1
alaska,S,Alaska Supreme Court,2011,106,4
alaska,S,Alaska Supreme Court,2012,114,42
alaska,S,Alaska Supreme Court,2013,138,24
alaska,S,Alaska Supreme Court,2014,134,55
alaska,S,Alaska Supreme Court,2015,102,37
alaska,S,Alaska Supreme Court,2016,85,41
alaska,S,Alaska Supreme Court,2017,83,52
alaska,S,Alaska Supreme Court,2018,124,47
alaska,S,Alaska Supreme Court,2019,109,44
alaska,S,Alaska Supreme Court,2020,74,55
alaska,S,Alaska Supreme Court,2021,79,59
alaska,S,Alaska Supreme Court,2022,65,71
alaska,S,Alaska Supreme Court,2023,46,59
alaska,S,Alaska Supreme Court,2024,62,62
alaska,S,Alaska Supreme Court,2025,68,61
alaskactapp,SA,Court of Appeals of Alaska,1990,100,1
alaskactapp,SA,Court of Appeals of Alaska,1991,93,0
alaskactapp,SA,Court of Appeals of Alaska,1992,83,0
alaskactapp,SA,Court of Appeals of Alaska,1993,57,0
alaskactapp,SA,Court of Appeals of Alaska,1994,61,0
alaskactapp,SA,Court of Appeals of Alaska,1995,66,0
alaskactapp,SA,Court of Appeals of Alaska,1996,59,0
alaskactapp,SA,Court of Appeals of Alaska,1997,52,0
alaskactapp,SA,Court of Appeals of Alaska,1998,48,0
alaskactapp,SA,Court of Appeals of Alaska,1999,41,0
alaskactapp,SA,Court of Appeals of Alaska,2000,51,0
alaskactapp,SA,Court of Appeals of Alaska,2001,68,0
alaskactapp,SA,Court of Appeals of Alaska,2002,70,0
alaskactapp,SA,Court of Appeals of Alaska,2003,65,0
alaskactapp,SA,Court of Appeals of Alaska,2004,54,0
alaskactapp,SA,Court of Appeals of Alaska,2005,57,0
alaskactapp,SA,Court of Appeals of Alaska,2006,61,0
alaskactapp,SA,Court of Appeals of Alaska,2007,58,0
alaskactapp,SA,Court of Appeals of Alaska,2008,66,0
alaskactapp,SA,Court of Appeals of Alaska,2009,46,0
alaskactapp,SA,Court of Appeals of Alaska,2010,44,0
alaskactapp,SA,Court of Appeals of Alaska,2011,49,1
alaskactapp,SA,Court of Appeals of Alaska,2012,45,0
alaskactapp,SA,Court of Appeals of Alaska,2013,26,0
alaskactapp,SA,Court of Appeals of Alaska,2014,31,0
alaskactapp,SA,Court of Appeals of Alaska,2015,49,0
alaskactapp,SA,Court of Appeals of Alaska,2016,54,0
alaskactapp,SA,Court of Appeals of Alaska,2017,51,0
alaskactapp,SA,Court of Appeals of Alaska,2018,59,0
alaskactapp,SA,Court of Appeals of Alaska,2019,40,0
alaskactapp,SA,Court of Appeals of Alaska,2020,23,0
alaskactapp,SA,Court of Appeals of Alaska,2021,29,0
alaskactapp,SA,Court of Appeals of Alaska,2022,23,0
alaskactapp,SA,Court of Appeals of Alaska,2023,34,0
alaskactapp,SA,Court of Appeals of Alaska,2024,25,0
alaskactapp,SA,Court of Appeals of Alaska,2025,30,0
ariz,S,Arizona Supreme Court,1990,121,0
ariz,S,Arizona Supreme Court,1991,106,0
ariz,S,Arizona Supreme Court,1992,88,0
ariz,S,Arizona Supreme Court,1993,106,0
ariz,S,Arizona Supreme Court,1994,127,0
ariz,S,Arizona Supreme Court,1995,81,0
ariz,S,Arizona Supreme Court,1996,74,0
ariz,S,Arizona Supreme Court,1997,81,0
ariz,S,Arizona Supreme Court,1998,51,0
ariz,S,Arizona Supreme Court,1999,49,0
ariz,S,Arizona Supreme Court,2000,49,0
ariz,S,Arizona Supreme Court,2001,42,0
ariz,S,Arizona Supreme Court,2002,58,8
ariz,S,Arizona Supreme Court,2003,89,2
ariz,S,Arizona Supreme Court,2004,47,3
ariz,S,Arizona Supreme Court,2005,52,1
ariz,S,Arizona Supreme Court,2006,48,0
ariz,S,Arizona Supreme Court,2007,50,0
ariz,S,Arizona Supreme Court,2008,47,1
ariz,S,Arizona Supreme Court,2009,46,0
ariz,S,Arizona Supreme Court,2010,50,1
ariz,S,Arizona Supreme Court,2011,45,0
ariz,S,Arizona Supreme Court,2012,43,0
ariz,S,Arizona Supreme Court,2013,41,0
ariz,S,Arizona Supreme Court,2014,50,1
ariz,S,Arizona Supreme Court,2015,43,0
ariz,S,Arizona Supreme Court,2016,51,0
ariz,S,Arizona Supreme Court,2017,56,0
ariz,S,Arizona Supreme Court,2018,53,0
ariz,S,Arizona Supreme Court,2019,31,0
ariz,S,Arizona Supreme Court,2020,47,9
ariz,S,Arizona Supreme Court,2021,41,6
ariz,S,Arizona Supreme Court,2022,49,8
ariz,S,Arizona Supreme Court,2023,35,1
ariz,S,Arizona Supreme Court,2024,34,6
ariz,S,Arizona Supreme Court,2025,40,1
arizctapp,SA,Court of Appeals of Arizona,1990,353,0
arizctapp,SA,Court of Appeals of Arizona,1991,306,0
arizctapp,SA,Court of Appeals of Arizona,1992,304,0
arizctapp,SA,Court of Appeals of Arizona,1993,271,0
arizctapp,SA,Court of Appeals of Arizona,1994,267,0
arizctapp,SA,Court of Appeals of Arizona,1995,276,0
arizctapp,SA,Court of Appeals of Arizona,1996,275,0
arizctapp,SA,Court of Appeals of Arizona,1997,227,0
arizctapp,SA,Court of Appeals of Arizona,1998,206,0
arizctapp,SA,Court of Appeals of Arizona,1999,190,0
arizctapp,SA,Court of Appeals of Arizona,2000,192,0
arizctapp,SA,Court of Appeals of Arizona,2001,176,0
arizctapp,SA,Court of Appeals of Arizona,2002,178,0
arizctapp,SA,Court of Appeals of Arizona,2003,199,0
arizctapp,SA,Court of Appeals of Arizona,2004,189,0
arizctapp,SA,Court of Appeals of Arizona,2005,173,0
arizctapp,SA,Court of Appeals of Arizona,2006,177,0
arizctapp,SA,Court of Appeals of Arizona,2007,277,0
arizctapp,SA,Court of Appeals of Arizona,2008,228,0
arizctapp,SA,Court of Appeals of Arizona,2009,290,0
arizctapp,SA,Court of Appeals of Arizona,2010,256,0
arizctapp,SA,Court of Appeals of Arizona,2011,239,0
arizctapp,SA,Court of Appeals of Arizona,2012,200,0
arizctapp,SA,Court of Appeals of Arizona,2013,179,0
arizctapp,SA,Court of Appeals of Arizona,2014,227,600
arizctapp,SA,Court of Appeals of Arizona,2015,163,780
arizctapp,SA,Court of Appeals of Arizona,2016,187,824
arizctapp,SA,Court of Appeals of Arizona,2017,120,883
arizctapp,SA,Court of Appeals of Arizona,2018,149,810
arizctapp,SA,Court of Appeals of Arizona,2019,93,759
arizctapp,SA,Court of Appeals of Arizona,2020,72,758
arizctapp,SA,Court of Appeals of Arizona,2021,62,755
arizctapp,SA,Court of Appeals of Arizona,2022,73,687
arizctapp,SA,Court of Appeals of Arizona,2023,115,644
arizctapp,SA,Court of Appeals of Arizona,2024,88,652
arizctapp,SA,Court of Appeals of Arizona,2025,91,556
ark,S,Supreme Court of Arkansas,1990,440,0
ark,S,Supreme Court of Arkansas,1991,405,0
ark,S,Supreme Court of Arkansas,1992,450,0
ark,S,Supreme Court of Arkansas,1993,424,0
ark,S,Supreme Court of Arkansas,1994,520,0
ark,S,Supreme Court of Arkansas,1995,449,0
ark,S,Supreme Court of Arkansas,1996,493,0
ark,S,Supreme Court of Arkansas,1997,481,0
ark,S,Supreme Court of Arkansas,1998,429,0
ark,S,Supreme Court of Arkansas,1999,363,0
ark,S,Supreme Court of Arkansas,2000,369,0
ark,S,Supreme Court of Arkansas,2001,342,0
ark,S,Supreme Court of Arkansas,2002,353,0
ark,S,Supreme Court of Arkansas,2003,322,0
ark,S,Supreme Court of Arkansas,2004,338,0
ark,S,Supreme Court of Arkansas,2005,344,0
ark,S,Supreme Court of Arkansas,2006,345,0
ark,S,Supreme Court of Arkansas,2007,350,0
ark,S,Supreme Court of Arkansas,2008,354,0
ark,S,Supreme Court of Arkansas,2009,239,0
ark,S,Supreme Court of Arkansas,2010,144,0
ark,S,Supreme Court of Arkansas,2011,137,0
ark,S,Supreme Court of Arkansas,2012,124,0
ark,S,Supreme Court of Arkansas,2013,259,0
ark,S,Supreme Court of Arkansas,2014,473,0
ark,S,Supreme Court of Arkansas,2015,385,0
ark,S,Supreme Court of Arkansas,2016,347,0
ark,S,Supreme Court of Arkansas,2017,283,0
ark,S,Supreme Court of Arkansas,2018,138,0
ark,S,Supreme Court of Arkansas,2019,204,0
ark,S,Supreme Court of Arkansas,2020,264,0
ark,S,Supreme Court of Arkansas,2021,176,0
ark,S,Supreme Court of Arkansas,2022,158,0
ark,S,Supreme Court of Arkansas,2023,147,0
ark,S,Supreme Court of Arkansas,2024,142,0
ark,S,Supreme Court of Arkansas,2025,169,0
arkctapp,SA,Court of Appeals of Arkansas,1990,154,0
arkctapp,SA,Court of Appeals of Arkansas,1991,155,0
arkctapp,SA,Court of Appeals of Arkansas,1992,132,0
arkctapp,SA,Court of Appeals of Arkansas,1993,140,0
arkctapp,SA,Court of Appeals of Arkansas,1994,136,0
arkctapp,SA,Court of Appeals of Arkansas,1995,134,0
arkctapp,SA,Court of Appeals of Arkansas,1996,212,0
arkctapp,SA,Court of Appeals of Arkansas,1997,171,0
arkctapp,SA,Court of Appeals of Arkansas,1998,209,0
arkctapp,SA,Court of Appeals of Arkansas,1999,193,0
arkctapp,SA,Court of Appeals of Arkansas,2000,230,0
arkctapp,SA,Court of Appeals of Arkansas,2001,250,0
arkctapp,SA,Court of Appeals of Arkansas,2002,203,0
arkctapp,SA,Court of Appeals of Arkansas,2003,254,0
arkctapp,SA,Court of Appeals of Arkansas,2004,231,0
arkctapp,SA,Court of Appeals of Arkansas,2005,239,0
arkctapp,SA,Court of Appeals of Arkansas,2006,221,0
arkctapp,SA,Court of Appeals of Arkansas,2007,217,0
arkctapp,SA,Court of Appeals of Arkansas,2008,199,0
arkctapp,SA,Court of Appeals of Arkansas,2009,252,0
arkctapp,SA,Court of Appeals of Arkansas,2010,274,0
arkctapp,SA,Court of Appeals of Arkansas,2011,238,0
arkctapp,SA,Court of Appeals of Arkansas,2012,193,0
arkctapp,SA,Court of Appeals of Arkansas,2013,476,0
arkctapp,SA,Court of Appeals of Arkansas,2014,664,0
arkctapp,SA,Court of Appeals of Arkansas,2015,677,0
arkctapp,SA,Court of Appeals of Arkansas,2016,584,0
arkctapp,SA,Court of Appeals of Arkansas,2017,656,0
arkctapp,SA,Court of Appeals of Arkansas,2018,419,0
arkctapp,SA,Court of Appeals of Arkansas,2019,494,0
arkctapp,SA,Court of Appeals of Arkansas,2020,538,0
arkctapp,SA,Court of Appeals of Arkansas,2021,465,0
arkctapp,SA,Court of Appeals of Arkansas,2022,394,0
arkctapp,SA,Court of Appeals of Arkansas,2023,383,0
arkctapp,SA,Court of Appeals of Arkansas,2024,460,0
arkctapp,SA,Court of Appeals of Arkansas,2025,562,0
cal,S,California Supreme Court,1990,121,1
cal,S,California Supreme Court,1991,108,0
cal,S,California Supreme Court,1992,112,0
cal,S,California Supreme Court,1993,101,0
cal,S,California Supreme Court,1994,96,0
cal,S,California Supreme Court,1995,108,0
cal,S,California Supreme Court,1996,75,0
cal,S,California Supreme Court,1997,96,0
cal,S,California Supreme Court,1998,93,0
cal,S,California Supreme Court,1999,115,0
cal,S,California Supreme Court,2000,122,0
cal,S,California Supreme Court,2001,132,0
cal,S,California Supreme Court,2002,144,0
cal,S,California Supreme Court,2003,137,0
cal,S,California Supreme Court,2004,172,0
cal,S,California Supreme Court,2005,134,0
cal,S,California Supreme Court,2006,142,0
cal,S,California Supreme Court,2007,186,0
cal,S,California Supreme Court,2008,139,0
cal,S,California Supreme Court,2009,110,0
cal,S,California Supreme Court,2010,117,0
cal,S,California Supreme Court,2011,90,0
cal,S,California Supreme Court,2012,113,0
cal,S,California Supreme Court,2013,131,0
cal,S,California Supreme Court,2014,89,0
cal,S,California Supreme Court,2015,85,0
cal,S,California Supreme Court,2016,273,0
cal,S,California Supreme Court,2017,242,0
cal,S,California Supreme Court,2018,235,0
cal,S,California Supreme Court,2019,145,0
cal,S,California Supreme Court,2020,82,0
cal,S,California Supreme Court,2021,64,0
cal,S,California Supreme Court,2022,57,0
cal,S,California Supreme Court,2023,55,0
cal,S,California Supreme Court,2024,61,0
cal,S,California Supreme Court,2025,53,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1990,9,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1991,14,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1992,13,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1993,14,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1994,14,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1995,13,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1996,6,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1997,5,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,1998,4,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2000,4,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2001,9,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2002,10,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2003,2,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2004,5,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2005,2,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2006,4,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2007,5,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2008,4,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2009,4,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2010,5,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2011,9,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2012,7,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2013,9,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2014,12,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2015,19,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2016,12,0
calappdeptsuper,SA,Appellate Division of the Superior Court of California,2017,3,0
calctapp,SA,California Court of Appeal,1990,1037,0
calctapp,SA,California Court of Appeal,1991,1107,0
calctapp,SA,California Court of Appeal,1992,1072,0
calctapp,SA,California Court of Appeal,1993,961,0
calctapp,SA,California Court of Appeal,1994,982,0
calctapp,SA,California Court of Appeal,1995,956,0
calctapp,SA,California Court of Appeal,1996,956,0
calctapp,SA,California Court of Appeal,1997,880,0
calctapp,SA,California Court of Appeal,1998,939,0
calctapp,SA,California Court of Appeal,1999,865,0
calctapp,SA,California Court of Appeal,2000,923,0
calctapp,SA,California Court of Appeal,2001,935,0
calctapp,SA,California Court of Appeal,2002,1066,0
calctapp,SA,California Court of Appeal,2003,1027,0
calctapp,SA,California Court of Appeal,2004,947,0
calctapp,SA,California Court of Appeal,2005,916,0
calctapp,SA,California Court of Appeal,2006,971,0
calctapp,SA,California Court of Appeal,2007,1215,0
calctapp,SA,California Court of Appeal,2008,1173,0
calctapp,SA,California Court of Appeal,2009,1104,0
calctapp,SA,California Court of Appeal,2010,1012,0
calctapp,SA,California Court of Appeal,2011,867,0
calctapp,SA,California Court of Appeal,2012,755,0
calctapp,SA,California Court of Appeal,2013,931,6354
calctapp,SA,California Court of Appeal,2014,1105,7632
calctapp,SA,California Court of Appeal,2015,1109,6734
calctapp,SA,California Court of Appeal,2016,1068,5488
calctapp,SA,California Court of Appeal,2017,960,0
calctapp,SA,California Court of Appeal,2018,961,0
calctapp,SA,California Court of Appeal,2019,1038,1
calctapp,SA,California Court of Appeal,2020,1060,2750
calctapp,SA,California Court of Appeal,2021,970,6173
calctapp,SA,California Court of Appeal,2022,921,5914
calctapp,SA,California Court of Appeal,2023,891,5657
calctapp,SA,California Court of Appeal,2024,732,5584
calctapp,SA,California Court of Appeal,2025,749,6248
calctapp1d,SA,"California Court of Appeal, 1st District",2015,1,0
calctapp1d,SA,"California Court of Appeal, 1st District",2016,8,0
calctapp2d,SA,"California Court of Appeal, 2nd District",2015,4,0
calctapp2d,SA,"California Court of Appeal, 2nd District",2016,15,0
calctapp3d,SA,"California Court of Appeal, 3rd District",2015,2,0
calctapp3d,SA,"California Court of Appeal, 3rd District",2016,6,0
calctapp4d,SA,"California Court of Appeal, 4th District",2015,3,0
calctapp4d,SA,"California Court of Appeal, 4th District",2016,26,0
calctapp5d,SA,"California Court of Appeal, 5th District",2016,36,0
calctapp5d,SA,"California Court of Appeal, 5th District",2017,493,0
calctapp5d,SA,"California Court of Appeal, 5th District",2018,842,0
calctapp5d,SA,"California Court of Appeal, 5th District",2019,559,0
calctapp6d,SA,"California Court of Appeal, 6th District",2015,1,0
calctapp6d,SA,"California Court of Appeal, 6th District",2016,5,0
colo,S,Supreme Court of Colorado,1990,248,0
colo,S,Supreme Court of Colorado,1991,212,0
colo,S,Supreme Court of Colorado,1992,193,0
colo,S,Supreme Court of Colorado,1993,209,0
colo,S,Supreme Court of Colorado,1994,193,0
colo,S,Supreme Court of Colorado,1995,210,0
colo,S,Supreme Court of Colorado,1996,199,0
colo,S,Supreme Court of Colorado,1997,185,0
colo,S,Supreme Court of Colorado,1998,186,0
colo,S,Supreme Court of Colorado,1999,158,0
colo,S,Supreme Court of Colorado,2000,119,0
colo,S,Supreme Court of Colorado,2001,135,0
colo,S,Supreme Court of Colorado,2002,125,0
colo,S,Supreme Court of Colorado,2003,101,0
colo,S,Supreme Court of Colorado,2004,93,0
colo,S,Supreme Court of Colorado,2005,120,0
colo,S,Supreme Court of Colorado,2006,107,0
colo,S,Supreme Court of Colorado,2007,98,0
colo,S,Supreme Court of Colorado,2008,99,0
colo,S,Supreme Court of Colorado,2009,80,0
colo,S,Supreme Court of Colorado,2010,99,0
colo,S,Supreme Court of Colorado,2011,107,0
colo,S,Supreme Court of Colorado,2012,84,0
colo,S,Supreme Court of Colorado,2013,84,0
colo,S,Supreme Court of Colorado,2014,89,0
colo,S,Supreme Court of Colorado,2015,110,0
colo,S,Supreme Court of Colorado,2016,152,0
colo,S,Supreme Court of Colorado,2017,98,0
colo,S,Supreme Court of Colorado,2018,104,0
colo,S,Supreme Court of Colorado,2019,108,0
colo,S,Supreme Court of Colorado,2020,86,0
colo,S,Supreme Court of Colorado,2021,121,135
colo,S,Supreme Court of Colorado,2022,58,340
colo,S,Supreme Court of Colorado,2023,42,76
colo,S,Supreme Court of Colorado,2024,33,424
colo,S,Supreme Court of Colorado,2025,538,333
coloctapp,SA,Colorado Court of Appeals,1990,375,0
coloctapp,SA,Colorado Court of Appeals,1991,364,0
coloctapp,SA,Colorado Court of Appeals,1992,413,0
coloctapp,SA,Colorado Court of Appeals,1993,369,0
coloctapp,SA,Colorado Court of Appeals,1994,396,0
coloctapp,SA,Colorado Court of Appeals,1995,350,0
coloctapp,SA,Colorado Court of Appeals,1996,396,0
coloctapp,SA,Colorado Court of Appeals,1997,318,0
coloctapp,SA,Colorado Court of Appeals,1998,293,0
coloctapp,SA,Colorado Court of Appeals,1999,321,0
coloctapp,SA,Colorado Court of Appeals,2000,314,0
coloctapp,SA,Colorado Court of Appeals,2001,304,0
coloctapp,SA,Colorado Court of Appeals,2002,276,0
coloctapp,SA,Colorado Court of Appeals,2003,298,0
coloctapp,SA,Colorado Court of Appeals,2004,291,0
coloctapp,SA,Colorado Court of Appeals,2005,263,0
coloctapp,SA,Colorado Court of Appeals,2006,286,0
coloctapp,SA,Colorado Court of Appeals,2007,302,0
coloctapp,SA,Colorado Court of Appeals,2008,272,0
coloctapp,SA,Colorado Court of Appeals,2009,294,0
coloctapp,SA,Colorado Court of Appeals,2010,232,0
coloctapp,SA,Colorado Court of Appeals,2011,194,0
coloctapp,SA,Colorado Court of Appeals,2012,219,0
coloctapp,SA,Colorado Court of Appeals,2013,173,1
coloctapp,SA,Colorado Court of Appeals,2014,179,0
coloctapp,SA,Colorado Court of Appeals,2015,238,0
coloctapp,SA,Colorado Court of Appeals,2016,330,0
coloctapp,SA,Colorado Court of Appeals,2017,97,0
coloctapp,SA,Colorado Court of Appeals,2018,144,1
coloctapp,SA,Colorado Court of Appeals,2019,163,0
coloctapp,SA,Colorado Court of Appeals,2020,151,0
coloctapp,SA,Colorado Court of Appeals,2021,114,166
coloctapp,SA,Colorado Court of Appeals,2022,99,82
coloctapp,SA,Colorado Court of Appeals,2023,25,0
coloctapp,SA,Colorado Court of Appeals,2024,202,735
coloctapp,SA,Colorado Court of Appeals,2025,78,1278
conn,S,Supreme Court of Connecticut,1990,411,0
conn,S,Supreme Court of Connecticut,1991,415,0
conn,S,Supreme Court of Connecticut,1992,409,0
conn,S,Supreme Court of Connecticut,1993,428,0
conn,S,Supreme Court of Connecticut,1994,434,0
conn,S,Supreme Court of Connecticut,1995,429,0
conn,S,Supreme Court of Connecticut,1996,490,0
conn,S,Supreme Court of Connecticut,1997,495,0
conn,S,Supreme Court of Connecticut,1998,465,0
